family,precision,recall,f1-score,support
alvernaviridae,1.0,1.0,1.0,4
caliciviridae,0.9707091469681398,0.988487702773417,0.979517759917034,1911
flaviviridae,0.962736089841756,0.9926315789473684,0.9774552993003368,3800
picornaviridae,0.9648331830477908,0.97538742023701,0.970081595648232,1097
arteriviridae,0.96,0.972972972972973,0.9664429530201344,148
circoviridae,0.9620689655172414,0.9704347826086956,0.9662337662337662,575
sedoreoviridae,0.9492629413781282,0.976031018681706,0.9624608967674662,2837
retroviridae,0.97196261682243,0.9369369369369368,0.9541284403669724,111
astroviridae,0.95,0.926829268292683,0.9382716049382716,82
pneumoviridae,0.917004048582996,0.9577167019027484,0.936918304033092,473
arenaviridae,0.956140350877193,0.9159663865546218,0.9356223175965666,119
rhabdoviridae,0.9004777070063694,0.9666666666666668,0.93239901071723,1170
polyomaviridae,0.9322916666666666,0.927461139896373,0.9298701298701298,193
hepeviridae,0.9156118143459916,0.9393939393939394,0.9273504273504274,231
paramyxoviridae,0.9032258064516128,0.9320905459387484,0.9174311926605504,751
smacoviridae,0.9,0.9,0.9,10
tospoviridae,0.8951612903225806,0.8951612903225806,0.8951612903225806,124
nairoviridae,0.9418604651162792,0.8350515463917526,0.8852459016393442,97
papillomaviridae,0.9651162790697676,0.8058252427184466,0.8783068783068783,103
phasmaviridae,0.9473684210526316,0.8181818181818182,0.8780487804878049,22
spinareoviridae,0.8508474576271187,0.8964285714285715,0.8730434782608696,280
hantaviridae,0.860655737704918,0.8823529411764706,0.8713692946058091,238
coronaviridae,0.9161676646706588,0.8052631578947368,0.8571428571428571,190
orlajensenviridae,0.8974358974358975,0.7954545454545454,0.8433734939759037,44
anelloviridae,0.9230769230769232,0.7741935483870968,0.8421052631578947,62
geminiviridae,0.824468085106383,0.8378378378378378,0.8310991957104558,185
parvoviridae,0.9130434782608696,0.7567567567567568,0.8275862068965517,111
orthomyxoviridae,0.868421052631579,0.7857142857142857,0.825,42
mimiviridae,0.7962798937112489,0.8378378378378378,0.8165304268846503,1073
adenoviridae,0.7665198237885462,0.8708708708708709,0.8153701968134958,999
secoviridae,0.8461538461538461,0.7857142857142857,0.8148148148148148,14
betaflexiviridae,0.8173076923076923,0.794392523364486,0.8056872037914692,107
microviridae,0.8375,0.767175572519084,0.8007968127490039,262
tobaniviridae,0.8571428571428571,0.75,0.8,24
narnaviridae,0.7272727272727273,0.8888888888888888,0.8,9
poxviridae,0.7483588621444202,0.807556080283353,0.7768313458262351,847
aliceevansviridae,0.902097902097902,0.6789473684210526,0.7747747747747747,190
caulimoviridae,0.9,0.6666666666666666,0.7659574468085106,27
bromoviridae,0.8666666666666667,0.6842105263157895,0.7647058823529411,38
botourmiaviridae,1.0,0.6,0.75,5
orthoherpesviridae,0.7454954954954955,0.7242888402625821,0.7347391786903441,457
genomoviridae,1.0,0.5652173913043478,0.7222222222222222,23
stackebrandtviridae,0.6267281105990783,0.8395061728395061,0.7176781002638523,162
straboviridae,0.582995951417004,0.8848832445718967,0.7028961926456232,4882
autotranscriptaviridae,0.6792452830188679,0.7251798561151079,0.7014613778705637,695
peduoviridae,0.7737226277372263,0.6272189349112426,0.6928104575163399,169
lindbergviridae,0.6534216335540839,0.729064039408867,0.689173457508731,406
marseilleviridae,0.7165354330708661,0.6546762589928058,0.6842105263157895,278
phenuiviridae,0.82,0.5774647887323944,0.6776859504132231,71
herelleviridae,0.6275154004106777,0.7265810746552543,0.6734244160423094,2103
sphaerolipoviridae,1.0,0.5,0.6666666666666666,4
potyviridae,1.0,0.5,0.6666666666666666,6
nodaviridae,1.0,0.5,0.6666666666666666,16
drexlerviridae,0.6788432267884322,0.6426512968299711,0.6602516654330126,694
sarkviridae,0.6636085626911316,0.6477611940298508,0.6555891238670695,335
solemoviridae,1.0,0.4545454545454545,0.625,22
kyanoviridae,0.6426332288401254,0.5970873786407767,0.619023653749371,1030
partitiviridae,1.0,0.4444444444444444,0.6153846153846154,9
filoviridae,1.0,0.4375,0.6086956521739131,16
nimaviridae,0.5701219512195121,0.6382252559726962,0.6022544283413849,293
phycodnaviridae,0.605875152998776,0.5978260869565217,0.601823708206687,828
baculoviridae,0.6946902654867256,0.5198675496688742,0.5946969696969697,302
fiersviridae,0.5555555555555556,0.625,0.5882352941176471,16
tectiviridae,0.7741935483870968,0.4615384615384615,0.5783132530120482,52
asfarviridae,0.9333333333333332,0.4117647058823529,0.5714285714285714,34
alphaflexiviridae,0.6666666666666666,0.5,0.5714285714285714,16
autoscriptoviridae,0.532293986636971,0.5786924939467313,0.5545243619489559,413
connertonviridae,0.6818181818181818,0.4651162790697674,0.5529953917050692,129
peribunyaviridae,0.9166666666666666,0.3928571428571428,0.55,28
virgaviridae,1.0,0.375,0.5454545454545454,8
inoviridae,0.9230769230769232,0.3870967741935484,0.5454545454545454,62
demerecviridae,0.5806763285024155,0.5114893617021277,0.5438914027149321,1175
iridoviridae,0.6747572815533981,0.4542483660130719,0.54296875,306
mitoviridae,1.0,0.3333333333333333,0.5,3
togaviridae,1.0,0.3333333333333333,0.5,3
amalgaviridae,1.0,0.3333333333333333,0.5,3
chimalliviridae,0.4845463609172482,0.5148305084745762,0.4992295839753466,944
jeanschmidtviridae,0.4508196721311475,0.5555555555555556,0.497737556561086,198
hafunaviridae,0.4897959183673469,0.4752475247524752,0.4824120603015075,101
vilmaviridae,0.4695652173913043,0.463519313304721,0.4665226781857451,233
closteroviridae,0.7222222222222222,0.325,0.4482758620689655,40
hodgkinviridae,0.5384615384615384,0.3783783783783784,0.4444444444444444,74
zierdtviridae,0.5932203389830508,0.3535353535353535,0.4430379746835443,99
fimoviridae,0.9166666666666666,0.2894736842105263,0.44,38
steitzviridae,0.75,0.3,0.4285714285714285,10
ackermannviridae,0.5880952380952381,0.3365122615803814,0.4280762564991334,734
casjensviridae,0.5055555555555555,0.3596837944664031,0.4203233256351039,253
